"","row","col"
"",92530,2
"",92531,2
"",92532,2
"",92533,2
"",92534,2
"",92535,2
"",92536,2
"",92537,2
"",92538,2
"",92539,2
"",92540,2
"",1167,3
"",1168,3
"",1169,3
"",1170,3
"",1171,3
"",1172,3
"",1173,3
"",1174,3
"",1175,3
"",1176,3
"",1177,3
"",1178,3
"",1179,3
"",1180,3
"",1181,3
"",1182,3
"",1183,3
"",1184,3
"",1185,3
"",2379,3
"",2380,3
"",10193,3
"",10194,3
"",11688,3
"",11689,3
"",11690,3
"",11691,3
"",11692,3
"",11693,3
"",11694,3
"",11695,3
"",11696,3
"",11697,3
"",11698,3
"",11699,3
"",11700,3
"",11701,3
"",11702,3
"",11703,3
"",11704,3
"",12383,3
"",12384,3
"",17570,3
"",17571,3
"",19801,3
"",19802,3
"",19803,3
"",19804,3
"",19805,3
"",19806,3
"",19807,3
"",19808,3
"",19809,3
"",19810,3
"",19811,3
"",19812,3
"",19813,3
"",19814,3
"",19815,3
"",20737,3
"",20738,3
"",22278,3
"",22279,3
"",24122,3
"",24123,3
"",24124,3
"",24125,3
"",24126,3
"",24127,3
"",24128,3
"",24129,3
"",24130,3
"",24131,3
"",24132,3
"",24133,3
"",24134,3
"",24135,3
"",24136,3
"",24137,3
"",24138,3
"",24876,3
"",24877,3
"",30222,3
"",30223,3
"",31482,3
"",31483,3
"",31484,3
"",31485,3
"",31486,3
"",31487,3
"",31488,3
"",31489,3
"",31490,3
"",31491,3
"",31492,3
"",31493,3
"",31494,3
"",31495,3
"",31496,3
"",31497,3
"",31498,3
"",32218,3
"",32219,3
"",37559,3
"",37560,3
"",40134,3
"",40135,3
"",40136,3
"",40137,3
"",40138,3
"",40139,3
"",40140,3
"",40141,3
"",40142,3
"",40143,3
"",40144,3
"",40145,3
"",40146,3
"",40147,3
"",40148,3
"",40149,3
"",40150,3
"",41257,3
"",41258,3
"",43030,3
"",43031,3
"",45000,3
"",45001,3
"",45002,3
"",45003,3
"",45004,3
"",45005,3
"",45006,3
"",45007,3
"",45008,3
"",45009,3
"",45010,3
"",45011,3
"",45012,3
"",45013,3
"",45014,3
"",45015,3
"",45714,3
"",45715,3
"",53913,3
"",53914,3
"",53915,3
"",53916,3
"",60855,3
"",60856,3
"",62766,3
"",62767,3
"",62768,3
"",62769,3
"",62770,3
"",62771,3
"",62772,3
"",62773,3
"",62774,3
"",62775,3
"",62776,3
"",62777,3
"",62778,3
"",62779,3
"",62780,3
"",62781,3
"",62782,3
"",62783,3
"",62784,3
"",62785,3
"",62786,3
"",62787,3
"",62788,3
"",62789,3
"",70883,3
"",70884,3
"",70885,3
"",70886,3
"",70887,3
"",70888,3
"",70889,3
"",70890,3
"",70891,3
"",70892,3
"",70893,3
"",70894,3
"",70895,3
"",70896,3
"",70897,3
"",70898,3
"",70899,3
"",71669,3
"",71670,3
"",77357,3
"",77358,3
"",79956,3
"",79957,3
"",79958,3
"",79959,3
"",79960,3
"",79961,3
"",79962,3
"",79963,3
"",79964,3
"",79965,3
"",79966,3
"",79967,3
"",79968,3
"",79969,3
"",79970,3
"",79971,3
"",81124,3
"",81125,3
"",82878,3
"",82879,3
"",85006,3
"",85007,3
"",85008,3
"",85009,3
"",85010,3
"",85011,3
"",85012,3
"",85013,3
"",85014,3
"",85015,3
"",85016,3
"",85017,3
"",85018,3
"",85019,3
"",85020,3
"",85021,3
"",85022,3
"",85023,3
"",85947,3
"",85948,3
"",92320,3
"",92321,3
"x1_neg",13,126.9977143
"",10044,1
"",10045,1
"",10758,1
"",10759,1
"",10760,1
"",10761,1
"",10762,1
"",17478,1
"",17479,1
"",17921,1
"",17922,1
"",17923,1
"",17924,1
"",17925,1
"",21880,1
"",21881,1
"",23190,1
"",23191,1
"",30122,1
"",30123,1
"",30593,1
"",30594,1
"",30595,1
"",30596,1
"",30597,1
"",37468,1
"",37469,1
"",37927,1
"",37928,1
"",37929,1
"",37930,1
"",37931,1
"",42623,1
"",42624,1
"",44079,1
"",44080,1
"",44081,1
"",44082,1
"",44083,1
"",50862,1
"",50863,1
"",51319,1
"",51320,1
"",51321,1
"",51322,1
"",51323,1
"",54813,1
"",54814,1
"",62299,1
"",69189,1
"",69190,1
"",69940,1
"",69941,1
"",69942,1
"",69943,1
"",69944,1
"",77252,1
"",77253,1
"",77745,1
"",77746,1
"",77747,1
"",77748,1
"",77749,1
"",82473,1
"",82474,1
"",83905,1
"",83906,1
"",83907,1
"",83908,1
